nombre,generos,director,puntuacion,link_portada
The Green Mile,Crimen|Drama|Fantasia,Frank Darabont,8.6,https://upload.wikimedia.org/wikipedia/en/c/ce/Green_mile.jpg
Parasite,Drama|Thriller,Bong Joon Ho,8.5,https://upload.wikimedia.org/wikipedia/en/5/53/Parasite_%282019_film%29_poster.jpg
Whiplash,Drama|Musica,Damien Chazelle,8.5,https://upload.wikimedia.org/wikipedia/en/0/01/Whiplash_poster.jpg
Gladiator,Accion|Aventura|Drama,Ridley Scott,8.5,https://upload.wikimedia.org/wikipedia/en/f/fb/Gladiator_ver3.jpg
The Departed,Crimen|Drama|Thriller,Martin Scorsese,8.5,https://upload.wikimedia.org/wikipedia/en/5/50/The_Departed_戲院海報.jpg
The Prestige,Drama|Misterio|Ciencia Ficcion,Christopher Nolan,8.5,https://upload.wikimedia.org/wikipedia/en/d/d2/Prestige_poster.jpg
Psycho,Terror|Mystery|Thriller,Alfred Hitchcock,8.5,https://upload.wikimedia.org/wikipedia/en/b/b9/Psycho_%281960%29_theatrical_poster.jpg
The Lion King,Animacion|Aventura|Drama,Roger Allers|Rob Minkoff,8.5,https://upload.wikimedia.org/wikipedia/en/3/3d/The_Lion_King_poster.jpg
Memento,Misterio|Thriller,Christopher Nolan,8.4,https://upload.wikimedia.org/wikipedia/en/c/c7/Memento_poster.jpg
Django Unchained,Drama|Western,Quentin Tarantino,8.4,https://upload.wikimedia.org/wikipedia/en/8/8b/Django_Unchained_Poster.jpg
WALL-E,Animacion|Aventura|Familia,Andrew Stanton,8.4,https://upload.wikimedia.org/wikipedia/en/c/c2/WALL-Eposter.jpg
The Shining,Terror|Drama,Stanley Kubrick,8.4,https://upload.wikimedia.org/wikipedia/en/a/a4/The_Shining_poster.jpg
Alien,Terror|Ciencia Ficcion,Ridley Scott,8.4,https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg
Sunset Boulevard,Drama|Film-Noir,Billy Wilder,8.4,https://upload.wikimedia.org/wikipedia/en/b/ba/Sunset_Boulevard_%281950_poster%29.jpg
Inglourious Basterds,Aventura|Drama|Guerra,Quentin Tarantino,8.3,https://upload.wikimedia.org/wikipedia/en/c/c3/Inglourious_Basterds_poster.jpg
Amelie,Comedia|Romance,Jean-Pierre Jeunet,8.3,https://upload.wikimedia.org/wikipedia/en/f/f6/Amelie_poster.jpg
Reservoir Dogs,Crimen|Thriller,Quentin Tarantino,8.3,https://upload.wikimedia.org/wikipedia/en/f/f1/Reservoir_dogs_ver1.jpg
A Clockwork Orange,Crimen|Ciencia Ficcion|Drama,Stanley Kubrick,8.3,https://upload.wikimedia.org/wikipedia/en/a/a2/A_Clockwork_Orange_%281971%29_poster.jpg
Scarface,Crimen|Drama,Brian De Palma,8.3,https://upload.wikimedia.org/wikipedia/en/7/71/Scarface_poster.jpg
Taxi Driver,Crimen|Drama,Martin Scorsese,8.2,https://upload.wikimedia.org/wikipedia/en/3/33/Taxi_Driver_%281976_film_poster%29.jpg
Princess Mononoke,Animacion|Aventura|Fantasia,Hayao Miyazaki,8.2,https://upload.wikimedia.org/wikipedia/en/8/8c/Princess_Mononoke_Ashitaka_and_San.jpg
The Truman Show,Comedia|Drama,Peter Weir,8.2,https://upload.wikimedia.org/wikipedia/en/c/cd/Trumanshow.jpg
Jurassic Park,Accion|Aventura|Ciencia Ficcion,Steven Spielberg,8.2,https://upload.wikimedia.org/wikipedia/en/e/e7/Jurassic_Park_poster.jpg
Kill Bill: Vol. 1,Accion|Crimen|Thriller,Quentin Tarantino,8.2,https://upload.wikimedia.org/wikipedia/en/c/cf/Kill_Bill_Volume_1_theatrical_poster.jpg
Shutter Island,Misterio|Thriller,Martin Scorsese,8.2,https://upload.wikimedia.org/wikipedia/en/7/76/Shutterislandposter.jpg
No Country for Old Men,Crimen|Drama|Thriller,Joel Coen|Ethan Coen,8.2,https://upload.wikimedia.org/wikipedia/en/8/8b/No_Country_for_Old_Men_poster.jpg
The Thing,Terror|Ciencia Ficcion|Misterio,John Carpenter,8.2,https://upload.wikimedia.org/wikipedia/en/a/a6/The_Thing_%281982%29_theatrical_poster.jpg
Blade Runner,Accion|Ciencia Ficcion|Thriller,Ridley Scott,8.1,https://upload.wikimedia.org/wikipedia/en/5/53/Blade_Runner_poster.jpg
The Grand Budapest Hotel,Comedia|Drama,Wes Anderson,8.1,https://upload.wikimedia.org/wikipedia/en/a/a6/The_Grand_Budapest_Hotel_poster.jpg
Gone Girl,Drama|Misterio|Thriller,David Fincher,8.1,https://upload.wikimedia.org/wikipedia/en/0/05/Gone_Girl_Poster.jpg
Mad Max: Fury Road,Accion|Aventura|Ciencia Ficcion,George Miller,8.1,https://upload.wikimedia.org/wikipedia/en/6/6e/Mad_Max_Fury_Road.jpg
Catch Me If You Can,Biografia|Crimen|Drama,Steven Spielberg,8.1,https://upload.wikimedia.org/wikipedia/en/4/4d/Catch_Me_If_You_Can_2002_movie_poster.jpg
